Time (ms),Initial Shot,Final Shot
1.299892,00021,00029
1.299887,00031,00040
1.299882,00041,00050
1.299877,00051,00060
1.299872,00061,00070
1.299867,00071,00080
1.299862,00081,00090
1.299857,00091,00100
1.299852,00101,00110
1.299847,00111,00120
1.299842,00121,00130
1.299837,00131,00140
1.299832,00141,00150
1.299827,00151,00160
1.299822,00161,00170
1.299817,00171,00180
1.299812,00181,00190
1.299807,00191,00200
1.299802,00201,00210
1.299797,00211,00220
1.299787,00221,00230
1.299777,00231,00240
1.299767,00241,00250
1.299757,00251,00260
1.299737,00261,00270
1.299717,00271,00280
1.299697,00281,00290
1.299677,00291,00300
1.299657,00301,00310
1.299557,00311,00320
1.299457,00321,00330
1.299357,00331,00340
